parameter	burnin	psrf	ess_concat	ess_0	ess_1
root_height_Cra_gut	200	0.999723239488	2602.0	891.820185008	1301.0
mutation_rate_Cra_gut	200	1.00079876924	1526.90470902	772.93659134	591.569064881
pop_size_Cra_gut	200	0.999713049077	2215.94690712	1301.0	1212.3792808
pop_size_root_Cra_gut	200	0.999717552176	2296.75090301	1301.0	947.449964291
ln_likelihood_Cra_vul	200	1.00678345143	901.859395272	829.005199158	397.691630932
root_height_Cra_vul	200	1.02236361995	391.263046127	273.845124622	191.562528389
mutation_rate_Cra_vul	200	1.01592699232	407.885531772	276.755637229	183.52214809
pop_size_Cra_vul	200	1.00165684847	760.083126427	322.808718975	376.095822044
pop_size_root_Cra_vul	200	1.01265653388	417.154323604	298.349177798	177.461617614
ln_likelihood_Fur_min	200	1.00332394305	1161.46659893	459.822949908	572.875444324
root_height_Fur_min	200	1.03727932649	75.3475193856	45.028428902	157.822156535
mutation_rate_Fur_min	200	1.05167228331	83.1362169154	46.1909564621	216.507129811
pop_size_Fur_min	200	1.06680209389	106.224187589	54.5437527445	211.899410046
pop_size_root_Fur_min	200	1.05534616235	76.4233572684	45.0161279005	237.274026064
ln_likelihood_Kni_ore	200	0.999624690918	2564.47755027	1301.0	670.448295153
root_height_Kni_ore	200	1.00132319202	1793.80106738	1132.1542879	633.414406464
mutation_rate_Kni_ore	200	1.00092860967	2279.43584927	1250.64465963	799.526174465
pop_size_Kni_ore	200	0.999770223363	1901.89854666	909.044599079	636.161027481
pop_size_root_Kni_ore	200	1.00038977459	2602.0	1301.0	1301.0
ln_likelihood_Maz_pro	200	0.999619261626	1435.80273541	902.887576717	540.688075193
root_height_Maz_pro	200	1.00604045918	123.192030612	70.4533894341	91.8563684408
mutation_rate_Maz_pro	200	1.01457056371	136.494703571	67.7974727529	103.46929912
pop_size_Maz_pro	200	1.00546307403	181.207455101	83.2546407858	129.293713378
pop_size_root_Maz_pro	200	1.00785618679	140.973208449	73.7141935468	106.425811095
ln_likelihood_Myi_fla	200	1.00126853133	2303.3738413	1301.0	1177.02939637
root_height_Myi_fla	200	0.999872067165	2201.40724993	1060.60896232	1118.90813797
mutation_rate_Myi_fla	200	1.0061477212	1495.77680678	749.166933105	1024.12723226
pop_size_Myi_fla	200	0.999692697501	2602.0	1301.0	1080.23437998
pop_size_root_Myi_fla	200	0.999621011302	2602.0	1065.16094844	1104.38536221
ln_likelihood_Nas_lon	200	1.0005405268	312.487237818	136.886590122	159.094867701
root_height_Nas_lon	200	0.999971153539	2602.0	1301.0	1275.09342271
mutation_rate_Nas_lon	200	1.00666021999	146.738529553	68.2833872775	88.9224834442
pop_size_Nas_lon	200	0.999854832124	282.711537907	110.797342848	169.018681182
pop_size_root_Nas_lon	200	0.999651328024	2104.78041349	950.794314355	948.007551852
ln_likelihood_Sti_nap	200	0.999616105591	2055.24501658	996.325791025	1048.71922248
root_height_Sti_nap	200	0.999925906661	1856.0405052	1064.52553212	778.201255517
mutation_rate_Sti_nap	200	0.99975048281	2451.96980264	1007.96080013	1001.52243252
pop_size_Sti_nap	200	0.999694173333	2506.90437261	1039.36045806	1301.0
pop_size_root_Sti_nap	200	0.999631659737	2602.0	1269.33308587	1301.0
ln_likelihood	400	0.999694747891	1025.03375563	598.385012996	578.777778561
concentration	400	1.00206239361	1039.11813758	539.170713719	482.037795616
ln_likelihood_Att_bol	400	0.999577235211	2202.0	1101.0	1101.0
root_height_Att_bol	400	1.01111850375	66.720188474	45.0575588227	40.834687051
mutation_rate_Att_bol	400	1.01232644674	63.9773990178	43.2611572573	40.8460910197
pop_size_Att_bol	400	1.0147788206	63.5471071949	43.0926703385	38.9141709676
pop_size_root_Att_bol	400	1.01455387318	63.307229333	42.9473459829	39.0241194666
ln_likelihood_Cra_gut	400	1.00008979999	1649.23255341	898.889059211	729.24152706
root_height_Cra_gut	400	0.999567945387	2016.81396719	647.802974139	1101.0
mutation_rate_Cra_gut	400	1.00156326095	1185.48253304	846.191550635	805.219967451
pop_size_Cra_gut	400	0.999995122908	2202.0	1036.7970657	981.137773595
pop_size_root_Cra_gut	400	0.999649230102	1809.31741881	898.018918661	885.373243242
ln_likelihood_Cra_vul	400	1.01066212192	816.081007996	573.583481809	286.304022596
root_height_Cra_vul	400	1.03239596182	245.362384069	191.252635579	134.042823722
mutation_rate_Cra_vul	400	1.02494936937	237.649230675	181.493306146	129.63771401
pop_size_Cra_vul	400	1.00065028289	576.708492762	273.461725198	253.995438289
pop_size_root_Cra_vul	400	1.02229296824	243.077268451	200.510685613	134.499772367
ln_likelihood_Fur_min	400	1.0047103778	644.08190994	412.779357582	607.664678489
root_height_Fur_min	400	1.00541020893	219.962760968	152.690439462	137.3169214
mutation_rate_Fur_min	400	1.001980601	215.722943255	112.119510433	135.133595169
pop_size_Fur_min	400	1.02710258287	172.03774277	84.4146248824	143.463565602
pop_size_root_Fur_min	400	1.00242891334	234.58175933	118.289935027	155.737877482
ln_likelihood_Kni_ore	400	0.99964061792	1435.55672589	1029.98373058	488.125847396
root_height_Kni_ore	400	1.00124799603	1612.13533495	1020.53450728	800.405884856
mutation_rate_Kni_ore	400	0.999940212124	2086.37335788	970.557498295	718.744098928
pop_size_Kni_ore	400	0.999670808926	1043.90102663	733.689741083	430.805572429
pop_size_root_Kni_ore	400	1.00001349235	2202.0	1101.0	1079.01250627
ln_likelihood_Maz_pro	400	0.999599894766	1352.08239544	955.640899313	546.124986241
root_height_Maz_pro	400	1.04033062597	125.15346273	70.0840119325	86.4292645542
mutation_rate_Maz_pro	400	1.03511943698	132.163640305	65.5731863993	92.6487970121
pop_size_Maz_pro	400	1.00798778853	185.915620248	93.125487871	108.176209261
pop_size_root_Maz_pro	400	1.02657712034	142.728174191	76.2987947541	94.975138746
ln_likelihood_Myi_fla	400	1.00255505122	1967.40171123	1101.0	1089.14293552
root_height_Myi_fla	400	1.00000873507	2056.91041429	792.420894123	911.640951484
mutation_rate_Myi_fla	400	1.00920597422	1077.66898738	547.55936749	951.730127019
pop_size_Myi_fla	400	1.00012124746	2202.0	1101.0	784.668017511
pop_size_root_Myi_fla	400	0.999568705334	2202.0	810.4134182	1000.02926433
ln_likelihood_Nas_lon	400	1.00014858042	238.767502281	158.673692601	149.319689773
root_height_Nas_lon	400	0.999966484664	2202.0	1101.0	1101.0
mutation_rate_Nas_lon	400	1.00209182051	134.321735193	78.2943911504	67.3328768892
pop_size_Nas_lon	400	0.999565155724	278.83275452	115.757677502	169.136415463
pop_size_root_Nas_lon	400	1.00004048701	2202.0	1098.30729882	1101.0
ln_likelihood_Sti_nap	400	0.999596511671	1822.71474797	930.777643836	1011.62920327
root_height_Sti_nap	400	1.00013832924	1570.74052798	954.529005634	810.906231448
mutation_rate_Sti_nap	400	0.999547813749	1764.50201844	986.627462321	858.836596531
pop_size_Sti_nap	400	0.999632788992	2202.0	1032.10967699	1101.0
pop_size_root_Sti_nap	400	0.999560651797	2202.0	1101.0	1101.0
ln_likelihood	600	0.999717860517	732.624847496	392.811595584	641.130953622
concentration	600	0.99957042004	879.892977703	499.705064819	521.599988265
ln_likelihood_Att_bol	600	0.999446166683	1398.57002232	648.183725236	857.349429022
root_height_Att_bol	600	1.04253172686	56.7238715235	36.2422974466	36.0694427418
mutation_rate_Att_bol	600	1.05012341725	55.6555241152	35.7096000209	35.3618759866
pop_size_Att_bol	600	1.05156752185	54.2123179029	35.1469481646	34.4288463368
pop_size_root_Att_bol	600	1.05085896208	53.9697736714	34.9664527964	34.4321759095
ln_likelihood_Cra_gut	600	1.00082248504	1042.29757005	635.102402442	552.47500443
root_height_Cra_gut	600	0.99949334783	1267.69913757	773.443932146	709.647616589
mutation_rate_Cra_gut	600	1.00552772245	1022.00732592	553.869361221	636.555561803
pop_size_Cra_gut	600	1.00006004863	1802.0	901.0	901.0
pop_size_root_Cra_gut	600	1.00102298517	1461.20592375	901.0	734.468061396
ln_likelihood_Cra_vul	600	1.01353714076	543.174367867	528.899081887	224.921369354
root_height_Cra_vul	600	1.0366091268	258.22260949	167.677319524	108.888231192
mutation_rate_Cra_vul	600	1.02593583372	261.704436147	171.277493645	104.811117689
pop_size_Cra_vul	600	1.00189503178	566.713390485	213.33092566	196.852492013
pop_size_root_Cra_vul	600	1.0229625361	266.821584366	182.152020184	107.546996514
ln_likelihood_Fur_min	600	1.00618648267	537.069822837	250.839100136	389.667857842
root_height_Fur_min	600	1.02742983931	382.604481973	205.36674004	122.333572456
mutation_rate_Fur_min	600	0.99945371829	211.74911109	79.2852298942	128.617955041
pop_size_Fur_min	600	1.01834014064	135.919911955	61.8132776487	134.811492941
pop_size_root_Fur_min	600	0.999445807449	223.926919851	86.3234515268	137.788789137
ln_likelihood_Kni_ore	600	0.999457939286	1097.73270162	755.184324648	483.341500568
root_height_Kni_ore	600	0.999629681465	1089.50536799	630.640420191	711.585689797
mutation_rate_Kni_ore	600	0.999744017227	1191.01068741	880.897188248	668.834456784
pop_size_Kni_ore	600	1.00009744084	809.106954094	629.1487	442.072464191
pop_size_root_Kni_ore	600	1.00221895994	1776.80115673	845.11968451	901.0
ln_likelihood_Maz_pro	600	1.00053764659	1076.15692777	600.559175899	485.723581214
root_height_Maz_pro	600	1.02598290603	82.3973105361	67.0504520933	54.1751984622
mutation_rate_Maz_pro	600	1.01533323222	93.0452995994	65.4810995088	59.4308175341
pop_size_Maz_pro	600	1.00101004215	135.181910481	91.1093199408	74.8450592427
pop_size_root_Maz_pro	600	1.01213850131	98.3156880072	74.8304146522	59.7019261588
ln_likelihood_Myi_fla	600	1.00360643752	1798.97317764	901.0	893.168585571
root_height_Myi_fla	600	0.99988534647	1802.0	899.705447001	528.171325273
mutation_rate_Myi_fla	600	1.00989001961	1187.83212416	571.394309793	672.37273788
pop_size_Myi_fla	600	1.00154178058	1656.7133617	901.0	693.344192064
pop_size_root_Myi_fla	600	0.99971803057	1546.27957002	743.779617472	457.322495622
ln_likelihood_Nas_lon	600	1.00021098785	231.425463582	99.9158286016	153.494148952
root_height_Nas_lon	600	0.999447545458	1802.0	901.0	748.901845729
mutation_rate_Nas_lon	600	0.9994696608	103.378083627	47.2916377137	86.8792841475
pop_size_Nas_lon	600	1.00377387829	294.529011701	142.581944953	107.167239533
pop_size_root_Nas_lon	600	0.99959623031	1802.0	901.0	874.247868077
ln_likelihood_Sti_nap	600	0.999795446873	1772.48944903	826.575919864	901.0
root_height_Sti_nap	600	0.999505353225	1169.57605138	661.010718947	577.464325067
mutation_rate_Sti_nap	600	0.999481468739	1280.40071656	901.0	884.536201273
pop_size_Sti_nap	600	0.99952525681	1802.0	693.06535015	901.0
pop_size_root_Sti_nap	600	0.999445726662	1802.0	828.154020303	901.0
ln_likelihood	800	0.999437531636	753.158140054	374.463424832	351.552070671
concentration	800	0.999705345451	644.897871045	327.049718013	378.91658804
ln_likelihood_Att_bol	800	0.999319256521	1402.0	436.639610998	558.748870756
root_height_Att_bol	800	1.05414684897	47.8491200764	32.4062751502	30.4563362946
mutation_rate_Att_bol	800	1.06637847488	45.6465215778	32.1131127309	29.2641446863
pop_size_Att_bol	800	1.06825565189	44.8377463788	31.8845908146	28.8947821403
pop_size_root_Att_bol	800	1.06585448288	45.0163499586	31.6302415463	28.9087508924
ln_likelihood_Cra_gut	800	1.00040560595	949.588363229	426.591920685	452.079358114
root_height_Cra_gut	800	0.999308964252	931.569967783	443.359089217	701.0
mutation_rate_Cra_gut	800	1.00243905437	1033.93925914	409.385705477	568.773415019
pop_size_Cra_gut	800	0.999450825915	1402.0	660.970733995	628.341785647
pop_size_root_Cra_gut	800	1.00100221509	993.288523348	432.357949892	701.0
ln_likelihood_Cra_vul	800	1.02076047226	433.365116715	457.765238763	233.229243728
root_height_Cra_vul	800	1.03664103438	181.116577975	142.370998465	76.8418965733
mutation_rate_Cra_vul	800	1.02685709616	187.030385155	145.653181782	73.2612138617
pop_size_Cra_vul	800	1.00402037	387.632257791	296.864474463	156.36029067
pop_size_root_Cra_vul	800	1.02377108147	190.056985536	150.063927405	75.1401673706
ln_likelihood_Fur_min	800	1.01049743271	410.172435704	213.834082975	230.144266709
root_height_Fur_min	800	1.02215975093	717.37432357	194.755622317	264.725263887
mutation_rate_Fur_min	800	1.0010457085	225.640188355	65.7563231365	140.560038539
pop_size_Fur_min	800	1.02257201332	130.239100736	54.9028094669	89.9881707785
pop_size_root_Fur_min	800	1.00116797097	233.996169658	70.4580226202	146.853938903
ln_likelihood_Kni_ore	800	0.999350019156	888.463821993	701.0	331.547791976
root_height_Kni_ore	800	0.999286532444	988.65515693	701.0	468.295106593
mutation_rate_Kni_ore	800	0.999560812679	1036.78647506	701.0	574.5893024
pop_size_Kni_ore	800	0.999293703548	715.527900352	560.699686645	313.427164321
pop_size_root_Kni_ore	800	1.00280210016	1267.88462526	468.687028348	604.525259985
ln_likelihood_Maz_pro	800	1.00265983515	770.417547524	465.568470661	343.330651618
root_height_Maz_pro	800	1.05762546607	86.6494004528	65.6359141678	51.801281399
mutation_rate_Maz_pro	800	1.03647144377	75.074767644	56.4805746614	53.443095683
pop_size_Maz_pro	800	1.00576666789	96.1936068825	63.310175093	63.7196084403
pop_size_root_Maz_pro	800	1.03054327036	87.5233256746	63.7855031422	54.5655171035
ln_likelihood_Myi_fla	800	1.00009577759	1402.0	663.441284303	612.267071306
root_height_Myi_fla	800	1.00051023131	1059.59972419	557.059679167	646.167262603
mutation_rate_Myi_fla	800	1.00127082154	1111.01330834	416.013626648	372.543616584
pop_size_Myi_fla	800	1.00142795157	1282.10510518	701.0	592.076034732
pop_size_root_Myi_fla	800	0.999314643622	1335.00374144	598.673300386	436.661501582
ln_likelihood_Nas_lon	800	0.99931079575	202.951876999	97.7049092016	98.2512197719
root_height_Nas_lon	800	0.999290702848	1402.0	701.0	652.235121814
mutation_rate_Nas_lon	800	1.00037739081	76.6230671818	53.2316958888	48.6780161278
pop_size_Nas_lon	800	0.9995486128	290.00038853	101.358127723	149.253581078
pop_size_root_Nas_lon	800	0.999763938111	1392.9163639	701.0	674.965581415
ln_likelihood_Sti_nap	800	1.00182175809	1253.49565757	701.0	701.0
root_height_Sti_nap	800	0.999372814577	850.794099345	595.934008553	410.226551296
mutation_rate_Sti_nap	800	0.999585607476	1096.3603262	589.4738248	528.505572078
pop_size_Sti_nap	800	1.00066934063	1215.65657845	440.935070581	701.0
pop_size_root_Sti_nap	800	0.999309721425	1351.63921416	514.503534633	638.805267632
ln_likelihood	1000	0.999703918274	517.726175225	208.72598838	419.89702265
concentration	1000	0.999416993108	401.60713126	232.228988563	252.405751534
ln_likelihood_Att_bol	1000	0.999144773085	788.581332473	268.344874005	455.998839579
root_height_Att_bol	1000	1.02178192281	39.9504520657	26.5014820585	25.4964712709
mutation_rate_Att_bol	1000	1.02945074488	38.1240265133	25.1954113417	23.8302574696
pop_size_Att_bol	1000	1.03288278229	37.5908509163	25.536644224	23.9963309978
pop_size_root_Att_bol	1000	1.02983696314	37.7793191179	25.5238580998	23.8689538145
ln_likelihood_Cra_gut	1000	0.999970610321	589.295000166	370.171212269	245.983145521
root_height_Cra_gut	1000	1.00203911875	853.490157637	501.0	501.0
mutation_rate_Cra_gut	1000	1.00394994201	517.850541653	243.838521112	336.93790579
pop_size_Cra_gut	1000	0.999149947705	1002.0	501.0	501.0
pop_size_root_Cra_gut	1000	0.999051664528	883.488406945	409.134806197	501.0
ln_likelihood_Cra_vul	1000	1.00749432579	439.871882984	404.04095754	227.696606143
root_height_Cra_vul	1000	1.00840531016	148.743401438	98.2920917027	62.1454268409
mutation_rate_Cra_vul	1000	1.00492254014	143.674453124	92.6163035219	59.7148004092
pop_size_Cra_vul	1000	1.00544996483	295.970651816	199.630216716	134.684223102
pop_size_root_Cra_vul	1000	1.00480489378	152.96936152	92.9104849628	62.6820324908
ln_likelihood_Fur_min	1000	1.01299373734	368.148003329	125.145206874	232.253598336
root_height_Fur_min	1000	1.02719705067	369.808642423	132.65399431	227.472388297
mutation_rate_Fur_min	1000	0.999527659581	162.726967474	55.4526271683	112.615684346
pop_size_Fur_min	1000	1.00881294256	88.2696864367	42.4202347177	57.6367560666
pop_size_root_Fur_min	1000	0.999180183012	168.511582941	60.5004196014	124.723841304
ln_likelihood_Kni_ore	1000	0.999128940114	635.698819504	465.690208776	247.585278694
root_height_Kni_ore	1000	0.999074589253	1002.0	452.533708751	450.128765388
mutation_rate_Kni_ore	1000	1.00171351948	1002.0	437.344993448	444.425755369
pop_size_Kni_ore	1000	0.999068674282	495.707043141	289.622096887	226.691825215
pop_size_root_Kni_ore	1000	1.00317647751	786.137175119	307.287963777	495.132582678
ln_likelihood_Maz_pro	1000	1.002783615	543.347719902	494.128655962	175.842147044
root_height_Maz_pro	1000	1.07996874201	74.5319497108	46.0922739199	30.6983065875
mutation_rate_Maz_pro	1000	1.07212314133	74.5588836152	36.8898778968	36.5223124612
pop_size_Maz_pro	1000	1.03556529504	99.1902315876	36.8530861223	44.7301458477
pop_size_root_Maz_pro	1000	1.06279697479	78.8505964646	40.0879541128	36.1706980666
ln_likelihood_Myi_fla	1000	1.00029929606	1002.0	432.195483762	496.370127599
root_height_Myi_fla	1000	1.00000293099	776.179031191	380.53649189	337.251548664
mutation_rate_Myi_fla	1000	1.0021630017	601.73024454	276.892459651	281.756288315
pop_size_Myi_fla	1000	1.00182448115	920.336642286	501.0	411.657110861
pop_size_root_Myi_fla	1000	0.999157489739	936.836668126	406.144442293	277.328282687
ln_likelihood_Nas_lon	1000	0.999011774871	176.186641149	90.5372591895	86.697214046
root_height_Nas_lon	1000	0.999147729921	1002.0	501.0	447.619137653
mutation_rate_Nas_lon	1000	0.999394253996	71.5956130156	47.6848884992	37.4423176164
pop_size_Nas_lon	1000	0.999306067306	235.326920776	88.5849431416	109.554370736
pop_size_root_Nas_lon	1000	1.00116304681	845.794875922	453.586298648	501.0
ln_likelihood_Sti_nap	1000	1.00117166635	983.736285323	501.0	501.0
root_height_Sti_nap	1000	0.999134918511	794.519113121	389.211822676	350.915198851
mutation_rate_Sti_nap	1000	0.999147626302	829.015735492	471.831291721	378.471609705
pop_size_Sti_nap	1000	1.0003311347	876.988582271	326.113930123	501.0
pop_size_root_Sti_nap	1000	1.00049800282	848.003970915	338.796062152	501.0
ln_likelihood	1200	0.999679956057	339.272922969	148.304622574	131.067719861
concentration	1200	1.00173850478	274.777154133	153.268931362	199.968417438
ln_likelihood_Att_bol	1200	0.998345408622	546.757116001	299.007026878	301.0
root_height_Att_bol	1200	1.00053324067	33.7475729438	22.1521956106	27.1735399059
mutation_rate_Att_bol	1200	1.00711505023	31.1288305562	20.56728899	22.0050460043
pop_size_Att_bol	1200	1.00398724309	31.1331767071	21.4671960356	24.542705359
pop_size_root_Att_bol	1200	1.00289038639	31.3378980079	21.3598346582	24.3701565325
ln_likelihood_Cra_gut	1200	0.999722349249	436.096070627	195.812243141	271.152758764
root_height_Cra_gut	1200	0.999009501535	602.0	301.0	279.302721255
mutation_rate_Cra_gut	1200	0.999172174003	530.389436261	210.249894031	301.0
pop_size_Cra_gut	1200	0.998412106323	602.0	301.0	301.0
pop_size_root_Cra_gut	1200	0.998564247859	602.0	301.0	225.036891385
ln_likelihood_Cra_vul	1200	1.0014826298	302.948814979	219.599321006	136.508973955
root_height_Cra_vul	1200	0.999008238896	94.785401745	47.7901855427	40.2634778184
mutation_rate_Cra_vul	1200	0.998368982741	85.723106643	46.440438564	36.2404285208
pop_size_Cra_vul	1200	1.00485380855	193.618117034	149.356804999	59.108923331
pop_size_root_Cra_vul	1200	0.998466705031	87.4463438909	48.3859237379	37.0877822869
ln_likelihood_Fur_min	1200	1.00332465261	243.536961292	175.54279021	115.403702494
root_height_Fur_min	1200	1.01750610892	88.6159436669	56.2428966087	204.384077875
mutation_rate_Fur_min	1200	0.999600094615	78.7216995896	45.5808610828	69.5109096708
pop_size_Fur_min	1200	1.00041555073	64.3944140625	37.2201720896	35.71490325
pop_size_root_Fur_min	1200	0.999657177765	82.8568649333	49.249901026	73.1720820876
ln_likelihood_Kni_ore	1200	1.00035889552	549.618418249	301.0	208.930428673
root_height_Kni_ore	1200	1.00070498463	602.0	301.0	301.0
mutation_rate_Kni_ore	1200	0.998856536719	602.0	301.0	267.348274822
pop_size_Kni_ore	1200	0.999333895669	394.091364508	198.832445043	147.802484915
pop_size_root_Kni_ore	1200	0.998829118316	462.982595294	199.56061462	301.0
ln_likelihood_Maz_pro	1200	1.01538466396	317.640826053	145.746423865	187.366000536
root_height_Maz_pro	1200	1.05495213308	58.2879038847	29.0361414	59.6961451923
mutation_rate_Maz_pro	1200	1.05348423778	50.2320198476	24.9580704821	48.6364467795
pop_size_Maz_pro	1200	1.01297872612	67.9062907305	30.3490245832	36.4938641946
pop_size_root_Maz_pro	1200	1.03548599993	58.8184372173	27.2424978358	49.2520903168
ln_likelihood_Myi_fla	1200	0.999172806438	602.0	301.0	288.562072398
root_height_Myi_fla	1200	0.998538778501	494.327487688	231.356428619	301.0
mutation_rate_Myi_fla	1200	1.00053183571	501.108054127	289.968148859	197.981062006
pop_size_Myi_fla	1200	1.00348581569	602.0	301.0	242.519591676
pop_size_root_Myi_fla	1200	0.999503418964	306.837033491	220.976174702	187.657461365
ln_likelihood_Nas_lon	1200	0.999273394101	84.1283280682	109.49831038	39.9217384431
root_height_Nas_lon	1200	0.999267883286	602.0	301.0	301.0
mutation_rate_Nas_lon	1200	0.998368358208	46.3774458815	44.1915122839	18.0964560669
pop_size_Nas_lon	1200	0.999003084529	81.9095849482	71.268798405	36.2992508008
pop_size_root_Nas_lon	1200	1.00508304291	519.311586259	256.958709816	301.0
ln_likelihood_Sti_nap	1200	1.00008439765	601.245154564	241.416864867	270.446572656
root_height_Sti_nap	1200	1.00264532631	528.116844903	301.0	170.29582245
mutation_rate_Sti_nap	1200	0.999086594309	470.714837628	201.373716505	293.822913265
pop_size_Sti_nap	1200	0.998362641182	513.749033945	209.964139968	301.0
pop_size_root_Sti_nap	1200	0.998542129577	430.693087312	192.509883171	215.36529237
